 Scan The fastest combinaison 32

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 32 X 32  ,   # Sub-Intervals= 1

| Sub-Intervals| 		| -1.08 -- 0 |
| List M0 |   		          | 597 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	2	6	 inf	   47.917	   6.358	   0.654	  7.034	 3	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	2	6	 inf	   47.917	   6.417	   0.653	  7.091	 3	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	2	12	 inf	   47.917	   8.650	   0.655	  9.327	 4	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	2	12	 inf	   47.917	   12.061	   0.647	  12.729	 6	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	2	12	 inf	   47.917	   7.915	   0.652	  8.589	 4	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	2	12	 inf	   47.917	   10.982	   0.654	  11.657	 6	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	0	6	 inf	   47.917	   8.681	   0.651	  9.353	 4	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	0	6	 inf	   47.917	   8.631	   0.649	  9.301	 4	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	0	6	 inf	   47.917	   7.914	   0.654	  8.588	 4	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	0	6	 inf	   47.917	   7.945	   0.650	  8.616	 4	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	0	12	 inf	   47.917	   12.079	   0.652	  12.752	 6	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	0	12	 inf	   47.917	   17.229	   0.655	  17.906	 9	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	0	12	 inf	   47.917	   11.055	   0.653	  11.729	 6	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	0	12	 inf	   47.917	   15.617	   0.649	  16.287	 9	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	1	6	 inf	   47.917	   25.799	   0.660	  26.483	 14	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	1	6	 inf	   47.917	   36.159	   0.652	  36.833	 20	571	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	1	6	 inf	   47.917	   23.278	   0.654	  23.953	 14	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	1	6	 inf	   47.917	   32.415	   0.656	  33.093	 20	571	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	1	12	 inf	   47.917	   36.208	   0.658	  36.889	 20	571	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	1	12	 inf	   47.917	   36.159	   0.655	  36.835	 20	571	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	1	12	 inf	   47.917	   32.477	   0.654	  33.152	 20	571	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	1	12	 inf	   47.917	   32.638	   0.654	  33.315	 20	571	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	2	6	 inf	   47.917	   6.923	   0.655	  7.599	 3	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	2	6	 inf	   47.917	   6.921	   0.651	  7.593	 3	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	2	6	 inf	   47.917	   6.410	   0.650	  7.081	 3	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	2	6	 inf	   47.917	   6.342	   0.650	  7.014	 3	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	2	12	 inf	   47.917	   8.618	   0.649	  9.289	 4	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	2	12	 inf	   47.917	   12.058	   0.653	  12.733	 6	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	2	12	 inf	   47.917	   7.906	   0.649	  8.577	 4	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 100	2	12	 inf	   47.917	   10.994	   0.655	  11.670	 6	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	0	6	 inf	   47.917	   6.463	   0.648	  7.132	 1	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	0	6	 inf	   47.917	   3.318	   0.653	  3.993	 0	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	0	6	 inf	   47.917	   5.276	   0.654	  5.952	 1	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	0	6	 inf	   47.917	   3.316	   0.647	  3.984	 0	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	0	12	 inf	   47.917	   9.671	   0.654	  10.346	 2	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	0	12	 inf	   47.917	   9.726	   0.655	  10.403	 2	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	0	12	 inf	   47.917	   7.193	   0.649	  7.863	 2	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	0	12	 inf	   47.917	   7.229	   0.651	  7.901	 2	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	1	6	 inf	   47.917	   6.504	   0.653	  7.178	 1	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	1	6	 inf	   47.917	   3.281	   0.649	  3.951	 0	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	1	6	 inf	   47.917	   7.320	   0.655	  8.001	 2	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	1	6	 inf	   47.917	   5.347	   0.649	  6.017	 1	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	1	12	 inf	   47.917	   9.749	   0.650	  10.421	 2	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	1	12	 inf	   47.917	   6.543	   0.649	  7.214	 1	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	1	12	 inf	   47.917	   7.323	   0.665	  8.014	 2	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	1	12	 inf	   47.917	   5.324	   0.652	  5.997	 1	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	2	6	 inf	   47.917	   6.388	   0.663	  7.078	 1	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	2	6	 inf	   47.917	   3.250	   0.656	  3.927	 0	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	2	6	 inf	   47.917	   7.191	   0.651	  7.863	 2	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	2	6	 inf	   47.917	   5.250	   0.656	  5.928	 1	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	2	12	 inf	   47.917	   9.667	   0.648	  10.337	 2	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	2	12	 inf	   47.917	   9.655	   0.656	  10.332	 2	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	2	12	 inf	   47.917	   7.147	   0.649	  7.817	 2	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 1	2	12	 inf	   47.917	   7.156	   0.652	  7.830	 2	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 100	0	6	 inf	   47.917	   6.549	   0.652	  7.222	 1	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 100	0	6	 inf	   47.917	   6.501	   0.651	  7.174	 1	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 100	0	6	 inf	   47.917	   7.332	   0.650	  8.004	 2	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 100	0	6	 inf	   47.917	   3.330	   0.652	  4.004	 0	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 100	0	12	 inf	   47.917	   9.855	   0.647	  10.523	 2	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  56	 100	0	12	 inf	   47.917	   6.569	   0.653	  7.243	 1	571	0	0	1	0	0
