MKL Double 
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info 
	0.310000	0.500000	1.000000	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 -8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	15.590663	16.732963	93.173355	N/A	1811	0
Feast Double
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	1689	-1.533158	0.000000	3	-1.001242e-03	-7.758208e-01	inf	25.573839	0.000000	0.002771	2643.851338	2644.928956	99.959257	22	1644	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	1789	-1.533158	0.000000	3	-9.144804e-04	-7.758208e-01	inf	39.728050	0.000000	0.000106	2764.974259	2766.083349	99.959904	22	1779	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	1889	-1.533158	0.000000	3	-8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	694.112696	695.229636	99.839342	6	1811	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	1989	-1.533158	0.000000	3	-8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	439.229728	440.344484	99.746845	4	1811	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	1711	-2.555264	0.000000	5	-1.818427e-03	-7.758208e-01	inf	29.347364	0.000000	0.001162	2646.988122	2648.077650	99.958856	22	1703	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	1811	-2.555264	0.000000	5	-5.328291e-05	-7.758208e-01	inf	48.397190	0.000000	0.000014	1203.192256	1204.307838	99.907367	10	1811	3
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	1911	-2.555264	0.000000	5	-8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	699.121878	700.241333	99.840133	6	1811	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	2011	-2.555264	0.000000	5	-8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	593.381236	594.499757	99.811855	5	1811	0
	0.310000	0.500000	1.000000	1	12	20	0	1	0	50	0	1711	-0.511053	0.000000	1	-7.989392e-05	-5.109009e-01	inf	17.832912	0.000000	0.016471	922.565760	923.594692	99.888595	22	1489	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	50	0	1389	-1.533158	0.000000	3	-5.219869e-02	-7.758197e-01	inf	25.843975	0.000000	0.002604	139.276894	140.272251	99.290411	6	1389	3
